Plasmid,Sequence ID,Protein name,Column1
pCE439/440,K12D9.12  ,IRLD-46,
pCE441/442,K12D9.14a,IRLD-12,
pCE443/444,M03A1.1b,VAB-1,
pCE449/450,R05G6.9,/,
pCE451/452,R05H10.6,CDH-7,
pCE453/454,R07G3.9,OIG-4,
pCE457/458,R107.8,LIN-12,
pCE459/460,R10H1.5,NAS-23,
pCE461/462,R11G1.1,/,
pCE463/464,SSSD1.1,IGCM-2,
pCE465/466,T01E8.1,/,
pCE467/468,T02C5.3b,IGCM-3,
pCE469/470,T05A6.4  ,IRLD-47,
pCE471/472,T05G5.1a,/,
pCE473/474,T06E4.5  ,/,
pCE475/476,T10E10.4,CHTB-3,
pCE477/478,T11F1.6  ,IRLD-49,
pCE479/480,T11F1.7a  ,IRLD-50,
pCE481/482,T11F1.8  ,HPA-2,
pCE483/484,T11F1.9  ,IRLD-51,
pCE485/486,T11F8.3a,RME-2,
pCE487/488,T12A7.2b,/,
pCE489/490,T13C2.6b,/,
pCE491/492,T17A3.1,VER-1,
pCE493/494,T17A3.10  ,ZIG-13,
pCE495/496,T19D12.6,/,
pCE497/498,T19D12.7  ,OIG-8,
pCE499/500,T19D2.1,ADT-3,
pCE501/502,T21B6.3,/,
pCE503/504,T21D12.9a,SMA-10,
pCE505/506,T22C8.2,CHHY-1,
pCE507/508,T22E5.3,IGDB-3,
pCE509/510,T26E4.1  ,IRLD-52,
pCE511/512,VC5.2,/,
pCE513/514,W03D8.6a,ITX-1,
pCE515/516,Y102A11A.8,IGCM-4,
pCE517/518,Y19D10A.7a,IRLD-53,
pCE519/520,Y19D10B.3  ,IRLD-15,
pCE521/522,Y19D10B.5  ,IRLD-16,
pCE523/524,Y19D10B.8  ,/,
pCE525/526,Y37A1B.8a ,IRLD-55,
pCE527/528,Y37A1B.9  ,IRLD-56,
pCE529/530,Y37D8A.13,UNC-71,
pCE531/532,Y37E11AL.6b,FMIL-1,
pCE533/534,Y37E11AR.7  ,/,
pCE535/536,Y37E3.13a,IGLR-3,
pCE537/538,Y38C1AA.9,/,
pCE539/540,Y46G5A.29,/,
pCE541/542,Y46H3D.4  ,IRLD-17,
pCE543/544,Y47H9C.4c,CED-1,
pCE545/546,Y51H4A.25b,/,
pCE547/548,Y54G2A.25a,LAD-2,
pCE549/550,Y54G2A.29,NDNF-1,
pCE551/552,Y55D5A.5x,DAF-2,
pCE553/554,Y57G11B.7  ,IRLD-18,
pCE555/556,Y57G11C.50  ,OIG-5,
pCE557/558,Y69H2.11,EGAS-1,
pCE559/560,Y69H2.12,EGAS-2,
pCE561/562,Y69H2.2,EGAS-3,
pCE563/564,Y69H2.3b,/,
pCE565/566,Y70C5C.3  ,IRLD-58,
pCE567/568,Y70G10A.2,/,
pCE569/570,Y71F9B.8a,LRON-11,
pCE571/572,Y73F8A.18  ,IRLD-59,
pCE573/574,Y75B8A.5,LRON-12,
pCE575/576,Y8A9A.2,/,
pCE577/578,ZC101.1,/,
pCE579/580,ZC13.4,MAB-7,
pCE581/582,ZC262.3a,IGLR-2,
pCE583/584,ZC374.2,/,
pCE585/586,ZC482.2  ,IRLD-60,
pCE587/588,ZC482.3  ,IRLD-19,
pCE589/590,ZC482.4  ,IRLD-61,
pCE591/592,ZC482.7  ,IRLD-20,
pCE593/594,ZC84.1,/,
pCE595/596,ZK1037.1  ,IRLD-62,
pCE597/598,ZK1067.1d,LET-23,
pCE599/600,ZK1193.3,/,
pCE601/602,ZK355.1,IRLD-63,
pCE603/604,ZK355.4,IRLD-64,
pCE605/606,ZK355.5,IRLD-65,
pCE607/608,ZK355.6,IRLD-66,
pCE609/610,ZK377.2a,SAX-3,
pCE611/612,ZK512.1  ,/,
pCE613/614,ZK994.3,PXN-1,
pCE615/616,C16D9.2,ROL-3,
pCE617/618,C45G7.5,CDH-10,
pCE619/620,C54G7.3c,LGX-1,
pCE621/622,F25H8.3b,GON-1,
pCE623/624,F28B4.3,/,
pCE625/626,F40F4.6b,IRG-7,
pCE627/628,F48E3.8x,CHTS-1,
pCE629/630,F53B7.5b,FIG-1,
pCE631/632,F55H12.3,/,
pCE633/634,K07D8.1,MUP-4,
pCE635/636,R08E3.2x,/,
pCE637/638,R10F2.1,CDH-1,
pCE639/640,R13F6.4e,TEN-1,
pCE641/642,T01D3.1b,/,
pCE643/644,T07H8.4a,MEC-1,
pCE645/646,T22A3.8,LAM-3,
pCE647/648,T25C12.3,/,
pCE649/650,W02B9.1b,HMR-1,
pCE651/652,W03F8.5a,LAM-1,
pCE653/654,Y42H9B.2,RIG-4,
pCE655/656,Y64G10A.7b,/,
pCE657/658,Y71D11A.1,CDH-12,
pCE659/660,ZC101.2a,UNC-52,
pCE661/662,ZK112.7,CDH-3,
pCE663/664,ZK783.1k,FBN-1,
pCE665/666,ZK945.9,LOV-1,
pCE667/668,C15A11.3,SOL-1,
pCE669/670,C29A12.4l,NRX-1,
pCE671/672,C29F3.7a,/,
pCE673/674,C32H11.1a,IRG-6,
pCE675/676,C34F6.10,/,
pCE677/678,C43F9.8,EFN-2,
pCE679/680,C44B12.2a,OST-1,
pCE681/682,C54C8.7,CLEC-11,
pCE683/684,D1037.2,SMP-2,
pCE685/686,F07G6.1x,DGN-3,
pCE687/688,F08G5.6,IRG-4,
pCE689/690,F08H9.6,CLEC-57,
pCE691/692,F10A3.4,/,
pCE693/694,F15A2.5,EFN-3,
pCE695/696,F27E5.4,PHG-1,
pCE697/698,F38G1.2,EGL-17,
pCE699/700,F43C9.4a,MIG-13,
pCE701/702,F55D10.3,GLIT-1,
pCE703/704,F56A11.3,EFN-4,
pCE705/706,F56C3.6,DGN-2,
pCE707/708,F58H1.4,FLR-2,
pCE709/710,F59D6.4  ,IRLD-38,
pCE711/712,K03E5.1,NETO-1,
pCE713/714,K04B12.1,PLX-2,
pCE715/716,K04F1.14b  ,IRLD-45,
pCE717/718,K05C4.11,SOL-2,
pCE719/720,T01C3.5  ,IRLD-14,
pCE721/722,T02C5.1a,/,
pCE723/724,T14E8.1a,SVH-2,
pCE725/726,T16H12.9,/,
pCE727/728,T22B11.1  ,/,
pCE729/730,T22H6.1,ILC-17.1,
pCE731/732,T23B12.8b,/,
pCE733/734,T28B8.2,INS-18,
pCE735/736,T28F3.8,/,
pCE737/738,Y37E11AR.6a,VAB-2,
pCE739/740,Y39A3CL.6,PVF-1,
pCE741/742,Y54E5B.1a,SMP-1,
pCE743/744,Y55F3AL.1b,PLX-1,
pCE745/746,Y69A2AR.31,/,
pCE747/748,Y71F9AR.1,BAM-2,
pCE749/750,Y71G12B.20a  ,MAB-20,
pCE751/752,Y76A2B.2,LRON-13,
pCE753/754,Y95B8A.6c,/,
pCE755/756,Y105E8A.7a,LEV-10,
pCE757/758,Y116F11B.1,DAF-28,
pCE759/760,ZK84.6,INS-6,
pCE761/762,Y71H2AM.10,TMEM-132,
pCE763/764,F49E11.5,SCL-10,
